Вопрос,Ответ
"Добрый день. Подскажите, пожалуйста, будут ли интегрированы журналы и отчеты из ШП в Мою школу за последние 5 лет? Отчетность необходима для прохождения аттестации сотрудников. Как им показывать успеваемость обучающихся, если ШП с 1 сентября закрывается? Или в него можно будет зайти, но нельзя будет вносить данные?","Аттестация сотрудников продолжает вестись в Школьном портале. Школьный портал в части электронного журнала продолжает работу, но только в режиме просмотра"
"Город Мытищи. Учебно-методический центр. В системе ЕИАС ОКО работали методисты по вопросам аттестации, оценочных процедур (ВПР, РДР), ВсОШ. Как будет продолжаться работа после отключения Школьного портала?","Школьный портал, в части аттестации продолжает работать"
"Добрый день При переводе детей с прошлого года на новый учебный год, проблема такая, что класс переносится а дети нет.  Все выполняется по инструкции.",Данные не синхронизированы потому что
"Подскажите,  в разделе ""Общее образование2 есть подраздел  ""Журналы дошкольников"". Мы детей  вписываем???","Нет, дошкольники пока не нужны."
"МБОУ ШИ Обуручет не работает мы не перевели классы на 2023-2024 учебный год! Завтра это возможно сделать? Или еще сегодня, пробовать?","Пробовать, безусловно, надо. Техническая поддержка работает над восстановлением работоспособности системы."
"Здравствуйте. Подскажите пожалуйста, как будут проходить авторизацию дети до 10 лет и дети иностранных граждан, у которых нет учетной записи на госуслугах?",Ответ про детей есть в форме типовой
"Скажите пожалуйста, календарный график до 7 июня, планирование вносим до 7 июня, или до 28 мая? Спасибо.",До 7 июня
"Г. О. Дубна. Как правильно поступить с педагогами, которые в декретном отпуске, но сейчас есть в справочнике?",Оставить в системе без учебной нагрузки
"Добрый вечер! Как добавить в расписание Разговоры о важном. Его нет в предметах, нет во внеурочной деятельности. Я могу добавить его как предмет сама конечно, если так можно? И поставить всем учителям в нагрузку и в обычное расписание уроков или все -таки необходимо это сделать через расписание внеурочной деятельности?",Поставить как курс внеурочной деятельности
"Дмитровский г.о. Дмитровская СОШ 1. Здравствуйте.При попытке поставить расписание учителю пишет,что ни один учитель не привязан к зданию. Что делаю не так?","Проверить привязку учителя к зданию, к кабинету."
"Школьный администратор, которого может назначить директор в личном кабинете и просто администратор - это разные вещи?",Нет
"Сегодня на вебинаре сказали,что для обучающихся и родителей будет доступен вход через логин-пароль.Через госуслуги обязательно учителя.",На самом деле такую информацию дают на вебинарах?
МОУ Заворовская СОШ Раменский го. Перевести детей из присоединенной школы не могу. Появляется ошибка.,Реорганизация школ ещё продолжается. Ориентировочный срок 29 августа.
Какая у поддержки должна быть роль? Администратор или Администратор в режиме просмотра?,администратор
"Подскажите можно ли классам прикрепить 2 режима пребывания, тк учащиеся переходят в течении дня из одного здания в другое где разные звонки","Нет, режим пребывания один. Необходимо внести в режим пребывания перемену, когда ученики переходят из здания в здание, а потом поставить уроки в соответствии с новым зданием."
"При делении на группы обучающихся система предлагает либо разделить их на мальчиков/девочек, либо по другому, но главное - группы одинаковые по всем предметам. Это не совсем удобно. Появится ли возможность организовывать группы по разным предметам разным набором детей?","Система даёт возможность делить на разные группы. В инструкциях есть раздел про группы и метагруппы. Численность и состав могут быть разными. Если после последовательного выполнения этого раздела не получится деления, тогда будем в режиме онлайн с этой школой делить группы."
"В учебном плане указано, что предметы у нас адаптированные. При составлении нагрузки, например, по математике, на предмете не отображается значок ""А"", но при этом дает возможность выбрать учителя. Не будет ли потом проблем при заполнении поурочного планирования?","Нет, проблем не будет"
"В 10 классе в математике нет алгебры, а есть алгебра и начала математического анализа. Как добавить алгебру","В 10 классе по ФГОС нет предмета алгебра, а есть именно алгебра и начала математического анализа."
Как можно отменить ошибочный приказ о переводе внутри ОО? Не смогла найти в инструкции,Через заявку или нам скинуть приказ в лс
Нужно ли создавать учебные планы или ждать присоединения и потом работать от одной школы?,"Учебные планы можно создавать и не ждать присоединения, потом назначить классам готовые учебные планы."
"Подскажите, как поступить с 9 и 11 классами прошлого года? Оставить или выпустить приказом?",Выпустить приказом
